label,occurrences,file_count,types
SEGMENT,10,10,S:2|F:3|P:2|N:3
RECORD STATUS,10,10,S:9|F:1
RX #,10,10,P:5|F:5
SECTION,10,10,P:4|F:5|S:1
EVENT TYPE,10,10,F:2|S:4|P:4
SNOMED CODE,10,10,F:9|M:1
SYNONYMS,10,10,A:9|M:1
COMPONENT,10,10,P:4|F:4|S:1|A:1
STREET ADDRESS,10,10,F:9|C:1
PROBLEM,10,10,P:6|F:3|M:1
ID NUMBER,10,10,F:3|N:7
DOCUMENT TYPE,10,10,S:3|P:4|F:3
SUPERSEDED DATE,10,10,D:2|F:8
PLACEHOLD DSS IP #,10,10,N:9|F:1
NATIONAL PATIENT RECORD FLAG,10,10,S:9|F:1
DATA,9,9,M:7|N:1|P:1
DISABLE,9,9,S:6|F:3
OCCUPATION,9,7,F:7|A:1|S:1
CONDITION,9,9,S:5|P:2|F:1|A:1
ERROR TEXT,9,9,F:8|M:1
OWNER,9,9,P:7|F:2
RECIPIENT,9,9,A:1|M:1|P:4|F:2|D:1
MESSAGE NUMBER,9,9,N:5|P:2|M:1|F:1
CURRENT STATUS,9,9,S:4|P:3|C:2
TRANSMISSION DATE,9,9,DC:1|D:8
PATIENT STATUS,9,9,P:4|S:4|C:1
TEAM,9,9,F:3|M:1|P:5
RECORD NUMBER,9,9,N:7|M:1|F:1
INSTRUMENT NAME,9,9,F:7|P:2
MESSAGE TEXT,9,9,P:1|F:3|M:5
SPECIMEN,9,9,P:7|F:2
DOB,9,9,D:6|C:1|DC:1|F:1
TYPE OF IMAGING,9,9,P:8|F:1
WEIGHT,9,9,N:6|F:2|C:1
SYSTEM,9,9,P:5|F:3|S:1
COMPLETED BY,9,9,P:8|F:1
LAST UPDATE,9,9,F:2|D:7
TRANSACTION ID,9,9,N:2|F:7
LAST MESSAGE NUMBER,9,9,N:1|P:8
DELETED BY,9,9,P:8|F:1
VALIDATION CODE,9,9,F:7|N:2
JOB NUMBER,9,9,F:5|N:4
UNIT OF ISSUE,9,9,P:6|F:2|N:1
POW LOCATION,9,9,P:7|F:2
ENCOUNTER CV,9,9,S:8|F:1
UCUM CODE,9,9,F:1|P:8
MARITAL STATUS,8,8,P:5|C:1|F:1|S:1
DATE OF DEATH,8,8,D:6|F:2
HEADER,8,8,F:5|K:2|M:1
CLASSIFICATION,8,8,S:3|F:3|P:2
START DATE/TIME,8,8,D:7|M:1
REVIEWED BY,8,8,F:1|P:7
AVAILABILITY,8,8,D:1|S:7
DATA TYPE,8,8,S:4|C:1|F:2|P:1
ENTRY DATE/TIME,8,8,D:7|F:1
DAYS SUPPLY,8,8,N:7|C:1
SORT ORDER,8,8,S:3|F:1|N:4
DATE OF SERVICE,8,8,D:5|F:3
JUSTIFICATION,8,8,F:4|M:4
PARENT FILE,8,8,P:6|C:1|N:1
REPORT,8,8,P:7|A:1
REQUEST STATUS,8,8,S:4|P:4
COLUMNS,8,8,N:3|S:1|M:2|F:1|P:1
PATIENT CATEGORY,8,8,S:5|P:3
SOURCE CODE,8,7,F:2|S:1|P:5
GROUP NUMBER,8,8,F:6|N:1|C:1
CPT MODIFIER,8,8,M:2|P:3|F:2|S:1
STATION NAME,8,8,F:3|P:5
ADDRESS,8,8,F:7|P:1
PAY PLAN,8,7,F:7|4:1
HCPCS ITEM,8,8,N:7|F:1
OLD VALUE,7,7,C:1|F:6
NEW VALUE,7,7,C:1|F:6
YEAR,7,7,M:1|N:3|D:2|F:1
WARD LOCATION,7,7,F:1|P:6
ERROR TYPE,7,7,S:3|F:1|P:3
FREQUENCY,7,7,N:3|F:2|P:1|S:1
SUBTYPE,7,7,P:4|F:3
ENTRY,7,7,P:1|N:2|C:1|F:1|V:2
FROM,7,7,F:4|P:2|D:1
PREFIX,7,7,F:6|S:1
LOCK,7,7,F:4|S:3
APPROVED BY,7,7,P:5|F:2
REQUEST DATE/TIME,7,7,D:6|F:1
REQUESTED BY,7,7,F:2|P:4|S:1
HL7 MESSAGE ID,7,7,F:5|N:1|M:1
TYPE OF CARE,7,7,S:6|P:1
TELEPHONE,7,7,F:6|C:1
RELEASE DATE,7,7,DC:1|D:6
INTERPRETATION,7,7,F:3|P:1|M:2|S:1
REQUEST TYPE,7,7,S:6|F:1
TYPE CODE,7,6,F:3|S:2|P:2
SCHEDULE,7,7,F:5|D:1|N:1
SEVERITY,7,7,F:3|S:4
PHYSICIAN,7,7,P:5|F:2
STOP DATE,7,7,D:6|F:1
METHOD,7,7,F:5|1:1|S:1
STREET ADDRESS 2,7,7,F:5|C:2
REFERENCE NUMBER,7,7,N:4|F:3
CLINIC STOP CODE,7,7,P:4|F:2|S:1
TYPE OF DATA,7,7,S:1|P:6
PROCEDURE TYPE,7,7,S:5|P:1|F:1
COUNT,7,7,N:4|S:1|C:1|F:1
