rule,priority,label,file,file_label,field,field_label,package,occurrences,types,source_files,target_file,recommended_type
label_type_conflict,28,SHORT DESCRIPTION,,,,,,28,F:27|M:1,,,F
label_type_conflict,28,DATE ENTERED,,,,,,28,N:1|D:27,,,D
label_type_conflict,28,PRINT NAME,,,,,,28,F:27|X:1,,,F
label_type_conflict,28,QUANTITY,,,,,,28,N:27|F:1,,,N
label_type_conflict,27,ROUTINE,,,,,,27,C:1|F:23|M:3,,,F
label_type_conflict,27,DATE/TIME ENTERED,,,,,,27,D:26|P:1,,,D
hub_file_reference,27,DOMAIN,4.2,,,,,,,27,,
label_type_conflict,26,TIMESTAMP,,,,,,26,F:12|D:14,,,D
label_type_conflict,26,REASON,,,,,,26,F:20|P:1|S:4|M:1,,,F
label_type_conflict,25,LAST EDITED BY,,,,,,25,P:24|F:1,,,P
label_type_conflict,25,DIAGNOSIS,,,,,,25,P:11|M:4|D:1|F:6|A:2|V:1,,,P
label_type_conflict,25,TRANSACTION NUMBER,,,,,,25,N:8|P:2|F:15,,,F
label_type_conflict,24,ITEM,,,,,,24,M:4|P:14|D:1|A:3|F:2,,,P
label_type_conflict,24,ACTION,,,,,,24,F:7|S:13|P:3|A:1,,,S
label_type_conflict,24,DAY,,,,,,24,M:2|F:21|N:1,,,F
hub_file_reference,24,INSURANCE COMPANY,36.0,,,,,,,24,,
hub_file_reference,24,WARD LOCATION,42.0,,,,,,,24,,
label_type_conflict,23,DATE/TIME CREATED,,,,,,23,F:1|M:1|D:21,,,D
label_type_conflict,23,BRIEF DESCRIPTION,,,,,,23,M:1|F:22,,,F
label_type_conflict,22,TITLE,,,,,,22,F:20|P:2,,,F
label_type_conflict,22,ELIGIBILITY,,,,,,22,P:4|S:7|C:1|F:10,,,F
hub_file_reference,22,?,727.0,,,,,,,22,,
label_type_conflict,21,FILE,,,,,,21,P:10|N:7|A:1|F:3,,,P
label_type_conflict,21,COST CENTER,,,,,,21,F:15|N:1|P:3|4:1|C:1,,,F
label_type_conflict,21,PATIENT NO. - DFN,,,,,,21,P:20|N:1,,,P
label_type_conflict,20,SCREEN,,,,,,20,K:10|S:3|F:4|P:3,,,K
label_type_conflict,20,IMAGE,,,,,,20,P:19|M:1,,,P
label_type_conflict,20,CODING SYSTEM,,,,,,20,M:10|P:4|S:1|A:2|F:3,,,M
label_type_conflict,20,OBSERVATION PATIENT INDICATOR,,,,,,20,S:16|F:4,,,S
hub_file_reference,20,MESSAGE,3.9,,,,,,,20,,
hub_file_reference,20,FACILITY TREATING SPECIALTY,45.7,,,,,,,20,,
hub_file_reference,20,CLINIC STOP,40.7,,,,,,,20,,
hub_file_reference,20,OUTPATIENT SITE,59.0,,,,,,,20,,
hub_file_reference,20,VENDOR,440.0,,,,,,,20,,
hub_file_reference,20,REQUEST/CONSULTATION,123.0,,,,,,,20,,
label_type_conflict,19,COUNTY,,,,,,19,N:2|5:1|P:3|F:10|C:3,,,F
label_type_conflict,19,APPLICATION,,,,,,19,P:14|5:1|F:3|S:1,,,P
label_type_conflict,19,DRUG,,,,,,19,P:17|C:2,,,P
label_type_conflict,19,SEQUENCE,,,,,,19,N:16|M:1|F:1|8:1,,,N
label_type_conflict,19,COST,,,,,,19,A:1|N:16|C:2,,,N
label_type_conflict,19,INSTRUMENT,,,,,,19,F:5|P:12|C:1|A:1,,,P
label_type_conflict,19,TRANSACTION DATE,,,,,,19,D:13|F:6,,,D
label_type_conflict,18,PERIOD OF SERVICE,,,,,,18,P:3|F:13|C:1|S:1,,,F
label_type_conflict,18,SHORT NAME,,,,,,18,F:16|C:2,,,F
label_type_conflict,18,START DATE,,,,,,18,D:17|F:1,,,D
label_type_conflict,18,BATCH NUMBER,,,,,,18,N:3|P:5|M:1|F:9,,,F
label_type_conflict,18,VETERAN,,,,,,18,P:8|S:10,,,S
label_type_conflict,18,PATIENT TYPE,,,,,,18,S:14|F:3|C:1,,,S
label_type_conflict,18,IN OUT PATIENT INDICATOR,,,,,,18,S:13|F:4|P:1,,,S
label_type_conflict,18,"DOM,PRRTP AND SAARTP INDICATOR",,,,,,18,F:5|S:13,,,S
hub_file_reference,18,TIU DOCUMENT,8925.0,,,,,,,18,,
hub_file_reference,18,PRESCRIPTION,52.0,,,,,,,18,,
label_type_conflict,17,ENTRY NUMBER,,,,,,17,N:11|A:1|F:5,,,N
label_type_conflict,17,ADMISSION DATE,,,,,,17,D:5|DC:1|F:11,,,F
label_type_conflict,17,MANUFACTURER,,,,,,17,P:8|F:7|M:2,,,P
label_type_conflict,17,TRANSACTION TYPE,,,,,,17,S:12|P:3|F:2,,,S
hub_file_reference,17,GENERIC INVENTORY,445.0,,,,,,,17,,
hub_file_reference,17,BILL/CLAIMS,399.0,,,,,,,17,,
hub_file_reference,17,PATIENT/IHS,9000001.0,,,,,,,17,,
label_type_conflict,16,FILE NUMBER,,,,,,16,F:4|N:11|S:1,,,N
label_type_conflict,16,ENROLLMENT PRIORITY,,,,,,16,S:3|F:13,,,F
label_type_conflict,16,CPT CODE,,,,,,16,P:11|F:5,,,P
label_type_conflict,16,TRANSMISSION STATUS,,,,,,16,S:14|P:2,,,S
label_type_conflict,16,DISPLAY TEXT,,,,,,16,F:15|M:1,,,F
label_type_conflict,16,ORDERING PROVIDER,,,,,,16,F:5|P:11,,,P
label_type_conflict,16,SUMMARY,,,,,,16,S:15|M:1,,,S
hub_file_reference,16,PRCD SD STATUS,420.1999,,,,,,,16,,
hub_file_reference,16,MEDICAL PATIENT,690.0,,,,,,,16,,
label_type_conflict,15,ATTENDING PHYSICIAN,,,,,,15,P:11|F:4,,,P
label_type_conflict,15,SITE NAME,,,,,,15,F:9|P:6,,,F
label_type_conflict,15,DISCHARGE DATE,,,,,,15,D:11|F:4,,,D
label_type_conflict,15,BLOCK,,,,,,15,F:1|A:2|P:12,,,P
label_type_conflict,15,ORDER,,,,,,15,P:9|N:5|7:1,,,P
label_type_conflict,15,TIME,,,,,,15,F:12|D:2|9:1,,,F
label_type_conflict,15,DEFINITION,,,,,,15,F:10|M:5,,,F
label_type_conflict,15,DATA SOURCE,,,,,,15,M:1|P:14,,,P
label_type_conflict,15,SPONSOR,,,,,,15,V:1|P:14,,,P
label_type_conflict,15,TRANSACTION CODE,,,,,,15,F:13|P:1|C:1,,,F
hub_file_reference,15,TERM,704.101,,,,,,,15,,
label_type_conflict,14,PARAMETER,,,,,,14,A:1|4:1|P:10|M:1|F:1,,,P
label_type_conflict,14,MESSAGE TYPE,,,,,,14,F:6|S:4|P:4,,,F
label_type_conflict,14,DATE LAST UPDATED,,,,,,14,C:1|D:13,,,D
label_type_conflict,14,ENROLLMENT STATUS,,,,,,14,P:7|F:7,,,P
label_type_conflict,14,ENROLLMENT CATEGORY,,,,,,14,S:3|F:11,,,F
label_type_conflict,14,NDC,,,,,,14,F:12|P:2,,,F
label_type_conflict,14,FACILITY NAME,,,,,,14,F:11|P:3,,,F
label_type_conflict,14,DISPOSITION,,,,,,14,S:5|F:2|P:6|M:1,,,P
label_type_conflict,14,STATUS DATE,,,,,,14,D:11|C:3,,,D
label_type_conflict,14,VALUE,,,,,,14,S:2|N:5|F:6|M:1,,,F
label_type_conflict,14,BILL NUMBER,,,,,,14,P:10|F:4,,,P
label_type_conflict,14,ERI,,,,,,14,F:12|S:2,,,F
hub_file_reference,14,OPTION,19.0,,,,,,,14,,
hub_file_reference,14,PROCUREMENT & ACCOUNTING TRANSACTIONS,442.0,,,,,,,14,,
hub_file_reference,14,PCE DATA SOURCE,839.7,,,,,,,14,,
label_type_conflict,13,ERROR CODE,,,,,,13,N:2|F:8|A:1|P:2,,,F
label_type_conflict,13,SOCIAL SECURITY NUMBER,,,,,,13,F:9|C:2|N:2,,,F
label_type_conflict,13,RESERVED,,,,,,13,F:9|S:4,,,F
label_type_conflict,13,REGION,,,,,,13,N:9|P:2|F:2,,,N
label_type_conflict,13,PHONE,,,,,,13,F:12|C:1,,,F
label_type_conflict,13,TAG,,,,,,13,M:1|N:1|F:9|A:2,,,F
label_type_conflict,13,ERROR MESSAGE,,,,,,13,F:10|M:2|P:1,,,F
label_type_conflict,13,LONG DESCRIPTION,,,,,,13,M:8|F:5,,,M
label_type_conflict,13,MESSAGE ID,,,,,,13,F:12|N:1,,,F
label_type_conflict,13,FACILITY NUMBER,,,,,,13,F:12|P:1,,,F
label_type_conflict,13,FISCAL YEAR,,,,,,13,D:2|N:2|M:1|F:6|A:1|4:1,,,F
label_type_conflict,13,HOSPITAL LOCATION,,,,,,13,P:11|F:1|C:1,,,P
label_type_conflict,13,COUNTRY CODE,,,,,,13,F:12|P:1,,,F
label_type_conflict,13,PATIENT ID,,,,,,13,P:3|F:9|C:1,,,F
label_type_conflict,13,CASE NUMBER,,,,,,13,N:5|F:8,,,F
label_type_conflict,13,MODALITY,,,,,,13,P:3|S:1|F:8|A:1,,,F
label_type_conflict,13,AGENT ORANGE LOCATION,,,,,,13,F:9|S:4,,,F
label_type_conflict,13,AUDIT TRAIL,,,,,,13,D:1|F:12,,,F
hub_file_reference,13,TIU DOCUMENT DEFINITION,8925.1,,,,,,,13,,
label_type_conflict,12,AGE,,,,,,12,C:8|N:4,,,C
label_type_conflict,12,DEVICE,,,,,,12,P:10|F:2,,,P
label_type_conflict,12,FIELD,,,,,,12,N:4|F:4|1:2|6:1|A:1,,,N
label_type_conflict,12,SPECIALTY,,,,,,12,P:8|F:4,,,P
label_type_conflict,12,ORDER NUMBER,,,,,,12,N:2|A:1|F:4|P:5,,,P
label_type_conflict,12,START TIME,,,,,,12,N:1|F:3|D:8,,,D
label_type_conflict,12,PATIENT DIVISION,,,,,,12,P:1|F:11,,,F
label_type_conflict,12,PROTOCOL,,,,,,12,P:5|S:2|F:5,,,P
label_type_conflict,12,ACCESSION NUMBER,,,,,,12,F:11|A:1,,,F
label_type_conflict,12,GROUP,,,,,,12,S:2|N:1|P:6|F:3,,,P
label_type_conflict,12,PLACEHOLD PRIMARY CARE TEAM,,,,,,12,F:9|P:3,,,F
label_type_conflict,12,USER ENROLLEE,,,,,,12,S:10|F:2,,,S
label_type_conflict,12,CV STATUS ELIGIBILITY,,,,,,12,S:11|F:1,,,S
hub_file_reference,12,LAB DATA,63.0,,,,,,,12,,
hub_file_reference,12,SPECIALTY,42.4,,,,,,,12,,
hub_file_reference,12,PROTOCOL,101.0,,,,,,,12,,
hub_file_reference,12,CONTROL POINT ACTIVITY,410.0,,,,,,,12,,
hub_file_reference,12,IMAGING TYPE,79.2,,,,,,,12,,
hub_file_reference,12,EXPRESSIONS,757.01,,,,,,,12,,
hub_file_reference,12,REMINDER SPONSOR,811.6,,,,,,,12,,
label_type_conflict,11,ERROR,,,,,,11,P:3|F:6|N:2,,,F
label_type_conflict,11,RESULT,,,,,,11,S:6|V:1|F:1|N:1|C:2,,,S
label_type_conflict,11,MNEMONIC,,,,,,11,M:1|F:10,,,F
label_type_conflict,11,DOMAIN,,,,,,11,P:7|F:4,,,P
label_type_conflict,11,SENDER,,,,,,11,F:4|P:7,,,P
label_type_conflict,11,ZIP,,,,,,11,F:10|C:1,,,F
label_type_conflict,11,NOTES,,,,,,11,M:7|F:3|D:1,,,M
label_type_conflict,11,TASK NUMBER,,,,,,11,F:1|N:10,,,N
label_type_conflict,11,PORT,,,,,,11,N:10|M:1,,,N
label_type_conflict,11,SERVICE CONNECTED,,,,,,11,S:10|F:1,,,S
label_type_conflict,11,UNITS,,,,,,11,P:5|S:1|N:2|F:3,,,P
label_type_conflict,11,VOLUME,,,,,,11,F:1|N:10,,,N
label_type_conflict,11,REQUESTOR,,,,,,11,P:9|F:1|C:1,,,P
label_type_conflict,11,AMOUNT,,,,,,11,N:8|F:1|A:2,,,N
label_type_conflict,11,FUND,,,,,,11,F:8|P:3,,,F
label_type_conflict,11,INSURANCE COMPANY,,,,,,11,P:10|F:1,,,P
label_type_conflict,11,EMPLOYEE,,,,,,11,P:10|F:1,,,P
label_type_conflict,11,HCPCS,,,,,,11,P:3|F:8,,,F
hub_file_reference,11,TEAM,404.51,,,,,,,11,,
hub_file_reference,11,IMAGE,2005.0,,,,,,,11,,
hub_file_reference,11,TOPOGRAPHY FIELD,61.0,,,,,,,11,,
hub_file_reference,11,MH TESTS AND SURVEYS,601.71,,,,,,,11,,
label_type_conflict,10,FIELD NUMBER,,,,,,10,F:4|N:6,,,N
label_type_conflict,10,RACE,,,,,,10,P:3|F:3|S:2|C:2,,,P
label_type_conflict,10,ZIP+4,,,,,,10,F:9|C:1,,,F
label_type_conflict,10,DOMAIN NAME,,,,,,10,P:5|F:5,,,P
label_type_conflict,10,ONE,,,,,,10,N:8|F:2,,,N
label_type_conflict,10,EVENT,,,,,,10,P:3|S:2|D:2|F:3,,,P
label_type_conflict,10,SEGMENT,,,,,,10,S:2|F:3|P:2|N:3,,,F
label_type_conflict,10,RECORD STATUS,,,,,,10,S:9|F:1,,,S
label_type_conflict,10,RX #,,,,,,10,P:5|F:5,,,P
label_type_conflict,10,SECTION,,,,,,10,P:4|F:5|S:1,,,F
label_type_conflict,10,EVENT TYPE,,,,,,10,F:2|S:4|P:4,,,S
label_type_conflict,10,SNOMED CODE,,,,,,10,F:9|M:1,,,F
label_type_conflict,10,SYNONYMS,,,,,,10,A:9|M:1,,,A
label_type_conflict,10,COMPONENT,,,,,,10,P:4|F:4|S:1|A:1,,,P
label_type_conflict,10,STREET ADDRESS,,,,,,10,F:9|C:1,,,F
label_type_conflict,10,PROBLEM,,,,,,10,P:6|F:3|M:1,,,P
label_type_conflict,10,ID NUMBER,,,,,,10,F:3|N:7,,,N
label_type_conflict,10,DOCUMENT TYPE,,,,,,10,S:3|P:4|F:3,,,P
label_type_conflict,10,SUPERSEDED DATE,,,,,,10,D:2|F:8,,,F
label_type_conflict,10,PLACEHOLD DSS IP #,,,,,,10,N:9|F:1,,,N
label_type_conflict,10,NATIONAL PATIENT RECORD FLAG,,,,,,10,S:9|F:1,,,S
hub_file_reference,10,PHARMACY ORDERABLE ITEM,50.7,,,,,,,10,,
hub_file_reference,10,LABORATORY TEST,60.0,,,,,,,10,,
hub_file_reference,10,LAB ELECTRONIC CODES,64.061,,,,,,,10,,
hub_file_reference,10,PAID EMPLOYEE,450.0,,,,,,,10,,
hub_file_reference,10,OUTPATIENT ENCOUNTER,409.68,,,,,,,10,,
hub_file_reference,10,ADMIN. ACTIVITY SITE PARAMETER,411.0,,,,,,,10,,
hub_file_reference,10,UCUM CODES,757.5,,,,,,,10,,
hub_file_reference,10,IMAGING SITE PARAMETERS,2006.1,,,,,,,10,,
label_type_conflict,9,DATA,,,,,,9,M:7|N:1|P:1,,,M
label_type_conflict,9,DISABLE,,,,,,9,S:6|F:3,,,S
label_type_conflict,9,OCCUPATION,,,,,,9,F:7|A:1|S:1,,,F
label_type_conflict,9,CONDITION,,,,,,9,S:5|P:2|F:1|A:1,,,S
label_type_conflict,9,ERROR TEXT,,,,,,9,F:8|M:1,,,F
label_type_conflict,9,OWNER,,,,,,9,P:7|F:2,,,P
label_type_conflict,9,RECIPIENT,,,,,,9,A:1|M:1|P:4|F:2|D:1,,,P
label_type_conflict,9,MESSAGE NUMBER,,,,,,9,N:5|P:2|M:1|F:1,,,N
label_type_conflict,9,CURRENT STATUS,,,,,,9,S:4|P:3|C:2,,,S
label_type_conflict,9,TRANSMISSION DATE,,,,,,9,DC:1|D:8,,,D
label_type_conflict,9,PATIENT STATUS,,,,,,9,P:4|S:4|C:1,,,P
label_type_conflict,9,TEAM,,,,,,9,F:3|M:1|P:5,,,P
label_type_conflict,9,RECORD NUMBER,,,,,,9,N:7|M:1|F:1,,,N
label_type_conflict,9,INSTRUMENT NAME,,,,,,9,F:7|P:2,,,F
label_type_conflict,9,MESSAGE TEXT,,,,,,9,P:1|F:3|M:5,,,M
label_type_conflict,9,SPECIMEN,,,,,,9,P:7|F:2,,,P
label_type_conflict,9,DOB,,,,,,9,D:6|C:1|DC:1|F:1,,,D
label_type_conflict,9,TYPE OF IMAGING,,,,,,9,P:8|F:1,,,P
label_type_conflict,9,WEIGHT,,,,,,9,N:6|F:2|C:1,,,N
label_type_conflict,9,SYSTEM,,,,,,9,P:5|F:3|S:1,,,P
label_type_conflict,9,COMPLETED BY,,,,,,9,P:8|F:1,,,P
label_type_conflict,9,LAST UPDATE,,,,,,9,F:2|D:7,,,D
label_type_conflict,9,TRANSACTION ID,,,,,,9,N:2|F:7,,,F
label_type_conflict,9,LAST MESSAGE NUMBER,,,,,,9,N:1|P:8,,,P
label_type_conflict,9,DELETED BY,,,,,,9,P:8|F:1,,,P
label_type_conflict,9,VALIDATION CODE,,,,,,9,F:7|N:2,,,F
label_type_conflict,9,JOB NUMBER,,,,,,9,F:5|N:4,,,F
label_type_conflict,9,UNIT OF ISSUE,,,,,,9,P:6|F:2|N:1,,,P
label_type_conflict,9,POW LOCATION,,,,,,9,P:7|F:2,,,P
label_type_conflict,9,ENCOUNTER CV,,,,,,9,S:8|F:1,,,S
label_type_conflict,9,UCUM CODE,,,,,,9,F:1|P:8,,,P
label_type_conflict,8,MARITAL STATUS,,,,,,8,P:5|C:1|F:1|S:1,,,P
label_type_conflict,8,DATE OF DEATH,,,,,,8,D:6|F:2,,,D
label_type_conflict,8,HEADER,,,,,,8,F:5|K:2|M:1,,,F
label_type_conflict,8,CLASSIFICATION,,,,,,8,S:3|F:3|P:2,,,S
label_type_conflict,8,START DATE/TIME,,,,,,8,D:7|M:1,,,D
label_type_conflict,8,REVIEWED BY,,,,,,8,F:1|P:7,,,P
label_type_conflict,8,AVAILABILITY,,,,,,8,D:1|S:7,,,S
label_type_conflict,8,DATA TYPE,,,,,,8,S:4|C:1|F:2|P:1,,,S
label_type_conflict,8,ENTRY DATE/TIME,,,,,,8,D:7|F:1,,,D
label_type_conflict,8,DAYS SUPPLY,,,,,,8,N:7|C:1,,,N
label_type_conflict,8,SORT ORDER,,,,,,8,S:3|F:1|N:4,,,N
label_type_conflict,8,DATE OF SERVICE,,,,,,8,D:5|F:3,,,D
label_type_conflict,8,JUSTIFICATION,,,,,,8,F:4|M:4,,,F
label_type_conflict,8,PARENT FILE,,,,,,8,P:6|C:1|N:1,,,P
label_type_conflict,8,REPORT,,,,,,8,P:7|A:1,,,P
label_type_conflict,8,REQUEST STATUS,,,,,,8,S:4|P:4,,,S
label_type_conflict,8,COLUMNS,,,,,,8,N:3|S:1|M:2|F:1|P:1,,,N
label_type_conflict,8,PATIENT CATEGORY,,,,,,8,S:5|P:3,,,S
label_type_conflict,8,SOURCE CODE,,,,,,8,F:2|S:1|P:5,,,P
label_type_conflict,8,GROUP NUMBER,,,,,,8,F:6|N:1|C:1,,,F
label_type_conflict,8,CPT MODIFIER,,,,,,8,M:2|P:3|F:2|S:1,,,P
label_type_conflict,8,STATION NAME,,,,,,8,F:3|P:5,,,P
label_type_conflict,8,ADDRESS,,,,,,8,F:7|P:1,,,F
label_type_conflict,8,PAY PLAN,,,,,,8,F:7|4:1,,,F
label_type_conflict,8,HCPCS ITEM,,,,,,8,N:7|F:1,,,N
label_type_conflict,7,OLD VALUE,,,,,,7,C:1|F:6,,,F
label_type_conflict,7,NEW VALUE,,,,,,7,C:1|F:6,,,F
label_type_conflict,7,YEAR,,,,,,7,M:1|N:3|D:2|F:1,,,N
label_type_conflict,7,WARD LOCATION,,,,,,7,F:1|P:6,,,P
label_type_conflict,7,ERROR TYPE,,,,,,7,S:3|F:1|P:3,,,S
label_type_conflict,7,FREQUENCY,,,,,,7,N:3|F:2|P:1|S:1,,,N
label_type_conflict,7,SUBTYPE,,,,,,7,P:4|F:3,,,P
label_type_conflict,7,ENTRY,,,,,,7,P:1|N:2|C:1|F:1|V:2,,,N
label_type_conflict,7,FROM,,,,,,7,F:4|P:2|D:1,,,F
label_type_conflict,7,PREFIX,,,,,,7,F:6|S:1,,,F
label_type_conflict,7,LOCK,,,,,,7,F:4|S:3,,,F
label_type_conflict,7,APPROVED BY,,,,,,7,P:5|F:2,,,P
label_type_conflict,7,REQUEST DATE/TIME,,,,,,7,D:6|F:1,,,D
label_type_conflict,7,REQUESTED BY,,,,,,7,F:2|P:4|S:1,,,P
label_type_conflict,7,HL7 MESSAGE ID,,,,,,7,F:5|N:1|M:1,,,F
label_type_conflict,7,TYPE OF CARE,,,,,,7,S:6|P:1,,,S
label_type_conflict,7,TELEPHONE,,,,,,7,F:6|C:1,,,F
label_type_conflict,7,RELEASE DATE,,,,,,7,DC:1|D:6,,,D
label_type_conflict,7,INTERPRETATION,,,,,,7,F:3|P:1|M:2|S:1,,,F
label_type_conflict,7,REQUEST TYPE,,,,,,7,S:6|F:1,,,S
label_type_conflict,7,TYPE CODE,,,,,,7,F:3|S:2|P:2,,,F
label_type_conflict,7,SCHEDULE,,,,,,7,F:5|D:1|N:1,,,F
label_type_conflict,7,SEVERITY,,,,,,7,F:3|S:4,,,S
label_type_conflict,7,PHYSICIAN,,,,,,7,P:5|F:2,,,P
label_type_conflict,7,STOP DATE,,,,,,7,D:6|F:1,,,D
label_type_conflict,7,METHOD,,,,,,7,F:5|1:1|S:1,,,F
label_type_conflict,7,STREET ADDRESS 2,,,,,,7,F:5|C:2,,,F
label_type_conflict,7,REFERENCE NUMBER,,,,,,7,N:4|F:3,,,N
label_type_conflict,7,CLINIC STOP CODE,,,,,,7,P:4|F:2|S:1,,,P
label_type_conflict,7,TYPE OF DATA,,,,,,7,S:1|P:6,,,P
label_type_conflict,7,PROCEDURE TYPE,,,,,,7,S:5|P:1|F:1,,,S
label_type_conflict,7,COUNT,,,,,,7,N:4|S:1|C:1|F:1,,,N
label_type_conflict,7,GRADE,,,,,,7,M:1|F:6,,,F
label_type_conflict,7,EXPLANATION,,,,,,7,F:6|D:1,,,F
label_type_conflict,7,FORM TYPE,,,,,,7,S:3|P:3|F:1,,,S
label_type_conflict,7,ROLE,,,,,,7,S:1|F:3|P:3,,,F
label_type_conflict,7,RECEIPT #,,,,,,7,F:2|P:5,,,P
label_type_conflict,7,CORRECTIVE ACTION,,,,,,7,M:2|P:2|F:1|S:2,,,M
