file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
228.3,TREATMENT PLAN CONSTANT DATA,"^DENT(228.3,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.4,TOOTH,"^DENT(228.4,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.42,DENTAL GROUPING FOR VA-DSS,"^DENT(228.42,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.5,DENTAL FEE BASIS EXTRACT,"^DENT(228.5,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.6,DENTAL TP NOTES,"^DENT(228.6,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.7,DENTAL TP RESERVE,"^DENT(228.7,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.8,DENTAL CODING CHECKS,"^DENT(228.8,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
230.0,ED LOG,"^EDP(230,",EMERGENCY DEPARTMENT,EDP,prefix,high,ns=EDP matched prefix=EDP
230.1,ED LOG HISTORY,"^EDP(230.1,",EMERGENCY DEPARTMENT,EDP,prefix,high,ns=EDP matched prefix=EDP
231.6,TRACKING BOARD,"^EDPB(231.6,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
231.7,TRACKING STAFF,"^EDPB(231.7,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
231.8,TRACKING ROOM-BED,"^EDPB(231.8,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
231.9,TRACKING AREA,"^EDPB(231.9,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
232.1,EDP REPORT TEMPLATE,"^EDPB(232.1,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
232.11,EDP REPORT ELEMENTS,"^EDPB(232.11,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
232.5,CPE ROLE,"^EDPB(232.5,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
232.6,EDP WORKSHEET SPECIFICATION,"^EDPB(232.6,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
232.71,EDP WORKSHEET SECTION,"^EDPB(232.71,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
232.72,EDP WORKSHEET COMPONENT,"^EDPB(232.72,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
232.73,EDP WORKSHEET COMPONENT TYPE,"^EDPB(232.73,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
