file_number,label,global_root,field_count,package_name,package_prefix
743.6,AUTO ENROLL RUN DATE,"^QA(743.6,",2,CLINICAL MONITORING SYSTEM,QAM
743.91,RATIONALE,"^QA(743.91,",2,CLINICAL MONITORING SYSTEM,QAM
743.92,TIME FRAME,"^QA(743.92,",2,CLINICAL MONITORING SYSTEM,QAM
748.0,SURVEY,"^QA(748,",14,SURVEY GENERATOR,QAP
748.2,DEMOGRAPHIC REFERENCE,"^QA(748.2,",1,SURVEY GENERATOR,QAP
748.25,SURVEY QUESTIONS,"^QA(748.25,",2,SURVEY GENERATOR,QAP
748.3,SURVEY RESPONSE DATA,"^QA(748.3,",7,SURVEY GENERATOR,QAP
757.0,MAJOR CONCEPT MAP,"^LEX(757,",3,CLINICAL LEXICON UTILITY,GMPT
757.001,CONCEPT USAGE,"^LEX(757.001,",3,,
757.01,EXPRESSIONS,"^LEX(757.01,",12,CLINICAL LEXICON UTILITY,GMPT
757.011,EXPRESSION TYPE,"^LEX(757.011,",3,,
757.014,EXPRESSION FORM,"^LEX(757.014,",2,CLINICAL LEXICON UTILITY,GMPT
757.018,SNOMED CT HIERARCHY,"^LEX(757.018,",4,,
757.02,CODES,"^LEX(757.02,",8,CLINICAL LEXICON UTILITY,GMPT
757.03,CODING SYSTEMS,"^LEX(757.03,",11,CLINICAL LEXICON UTILITY,GMPT
757.033,CHARACTER POSITIONS,"^LEX(757.033,",10,,
757.04,EXCLUDED WORDS,"^LEX(757.04,",2,CLINICAL LEXICON UTILITY,GMPT
757.041,EXCLUDED STRINGS,"^GMP(757.041,",2,CLINICAL LEXICON UTILITY,GMPT
757.05,REPLACEMENT WORDS,"^LEX(757.05,",4,CLINICAL LEXICON UTILITY,GMPT
757.06,UNRESOLVED NARRATIVES,"^LEX(757.06,",13,CLINICAL LEXICON UTILITY,GMPT
757.07,TOKENS,"^LEX(757.07,",2,,
757.071,SUPPLEMENTAL WORDS,"^LEX(757.071,",5,,
757.1,SEMANTIC MAP,"^LEX(757.1,",3,CLINICAL LEXICON UTILITY,GMPT
757.11,SEMANTIC CLASS,"^LEX(757.11,",4,CLINICAL LEXICON UTILITY,GMPT
757.12,SEMANTIC TYPE,"^LEX(757.12,",4,CLINICAL LEXICON UTILITY,GMPT
757.13,SOURCE CATEGORY,"^LEX(757.13,",10,,
757.14,SOURCE,"^LEX(757.14,",3,,
757.2,SUBSET DEFINITIONS,"^LEXT(757.2,",21,CLINICAL LEXICON UTILITY,GMPT
757.21,SUBSETS,"^LEX(757.21,",2,CLINICAL LEXICON UTILITY,GMPT
757.3,LOOK-UP SCREENS,"^LEX(757.3,",7,CLINICAL LEXICON UTILITY,GMPT
757.31,DISPLAYS,"^LEX(757.31,",4,,
757.32,MAPPING DEFINITIONS,"^LEX(757.32,",6,,
757.33,MAPPINGS,"^LEX(757.33,",7,,
757.4,SHORTCUTS,"^LEX(757.4,",2,,
757.41,SHORTCUT CONTEXT,"^LEX(757.41,",4,,
757.5,UCUM CODES,"^LEX(757.5,",4,,
770.0,HL7 NON-DHCP APPLICATION PARAMETER,"^HL(770,",16,HEALTH LEVEL SEVEN,HL
771.0,HL7 APPLICATION PARAMETER,"^HL(771,",9,HEALTH LEVEL SEVEN,HL
771.1,HL7 FIELD,"^HL(771.1,",16,HEALTH LEVEL SEVEN,HL
771.2,HL7 MESSAGE TYPE,"^HL(771.2,",3,HEALTH LEVEL SEVEN,HL
771.3,HL7 SEGMENT TYPE,"^HL(771.3,",4,HEALTH LEVEL SEVEN,HL
771.4,HL7 DATA TYPE,"^HL(771.4,",5,HEALTH LEVEL SEVEN,HL
771.5,HL7 VERSION,"^HL(771.5,",2,HEALTH LEVEL SEVEN,HL
771.6,HL7 MESSAGE STATUS,"^HL(771.6,",4,HEALTH LEVEL SEVEN,HL
771.7,HL7 ERROR MESSAGE,"^HL(771.7,",3,HEALTH LEVEL SEVEN,HL
771.8,HL7 STANDARD,"^HL(771.8,",2,HEALTH LEVEL SEVEN,HL
771.9,HL7 DEGREE,"^HL(771.9,",5,,
772.0,HL7 MESSAGE TEXT,"^HL(772,",26,HEALTH LEVEL SEVEN,HL
773.0,HL7 MESSAGE ADMINISTRATION,^HLMA(,51,HEALTH LEVEL SEVEN,HL
774.0,SUBSCRIPTION CONTROL,"^HLS(774,",4,,
776.0,HL7 MONITOR JOB,"^HLEV(776,",13,,
776.1,HL7 MONITOR,"^HLEV(776.1,",12,,
776.2,HL7 MONITOR MASTER JOB,"^HLEV(776.2,",10,,
776.3,HL7 MONITOR EVENT TYPE,"^HLEV(776.3,",14,,
776.4,HL7 MONITOR EVENT,"^HLEV(776.4,",20,,
776.5,HL7 MONITOR EVENTS PROFILE,"^HLEV(776.5,",13,,
776.999,HL7 MONITOR PARAMETERS,"^HLEV(776.999,",5,,
777.0,HLO MESSAGE BODY,^HLA(,9,,
778.0,HLO MESSAGES,^HLB(,32,,
779.001,HL7 EVENT TYPE CODE,"^HL(779.001,",3,HEALTH LEVEL SEVEN,HL
779.002,HL7 ACKNOWLEDGEMENT CODE,"^HL(779.002,",3,HEALTH LEVEL SEVEN,HL
779.003,HL7 ACCEPT/APPLICATION ACK CONDITION,"^HL(779.003,",3,HEALTH LEVEL SEVEN,HL
779.004,COUNTRY CODE,"^HL(779.004,",9,HEALTH LEVEL SEVEN,HL
779.005,HL7 MESSAGE STRUCTURE CODE,"^HL(779.005,",3,,
779.1,HLO SYSTEM PARAMETERS,"^HLD(779.1,",13,,
779.11,HLO ERROR SCREENS,"^HLD(779.11,",6,,
779.2,HLO APPLICATION REGISTRY,"^HLD(779.2,",15,,
779.3,HLO PROCESS REGISTRY,"^HLD(779.3,",16,,
779.4,HLO SUBSCRIPTION REGISTRY,"^HLD(779.4,",10,,
779.5,HLO SEGMENT DEFINITIONS,"^HLD(779.5,",4,,
779.9,HLO PRIORITY QUEUES,"^HLD(779.9,",5,,
783.0,FUNCTIONAL INDEPENDENCE MEASUREMENT RECORD,"^RMIM(783,",143,,
783.9,FUNCTIONAL INDEPENDENCE MEASUREMENT PARAMETER,"^RMIM(783.9,",7,,
785.0,EEO COMPLAINTS,"^EEO(785,",84,EEO COMPLAINT TRACKING,EEO
785.1,EEO COMPLAINT BASIS,"^EEO(785.1,",1,EEO COMPLAINT TRACKING,EEO
785.2,EEO CORRECTIVE ACTIONS,"^EEO(785.2,",1,EEO COMPLAINT TRACKING,EEO
785.5,EEO INFORMAL COMPLAINTS,"^EEO(785.5,",35,EEO COMPLAINT TRACKING,EEO
786.0,EEO COMPLAINT ISSUE CODES,"^EEO(786,",3,EEO COMPLAINT TRACKING,EEO
787.5,EEO CENTRAL INVESTIGATORS,"^EEO(787.5,",10,EEO COMPLAINT TRACKING,EEO
