package_name,prefix,version,file_count
EQUIPMENT/TURN-IN REQUIEST,PRCN,EQUIPMENT/TURN-IN REQUEST,0
EVENT CAPTURE,EC,Event Capture Workload Capture System,0
EVENT DRIVEN REPORTING,EDR,Occurence of events generates workload and other data,0
EXT REV TRACK,A1AX,TRACKING OF RECOMMENDATIONS AND ACTION PLANS,0
EXTENSIBLE EDITOR,RGED,Extensible Text Editor,0
EXTERNAL PEER REVIEW,QIE,OPTIONS FOR EPRP,0
FEE BASIS,FB,Used to pay private vendors,33
FEE BASIS CLAIMS SYSTEM,DSIF,"FEE BASIS CLAIMS SYSTEM, DSS",0
FILEMAN DELPHI COMPONENTS,FMDC,,0
FISCAL,FX,,0
FOUNDATIONS,XOBU,Foundations,0
FSMB SCREENING,A3F,Tracking system for licensure screening requests.,0
FUNCTIONAL INDEPENDENCE,RMIM,RMIM,0
FUND CONTROL POINT,FI,HANDLES FUND CONTROL POINT TRANSACTIONS FOR VAMC,0
GAME,GX,GAMES TO DEMONSTRATE COMPUTER AND TERMINAL,0
GEC*2*6,GECD,GEC*2*6 PATCH,0
GECB,GECB,GENERIC CODE SHEET PATCH,0
GECP,GECP,Generic Code Sheet V1.5 Patches,0
GECQ,GECQ,MINI-INIT FOR GENERIC CODE SHEET,0
GEN. MED. REC. - GENERATOR,GMRG,TEXT GENERATOR,3
GEN. MED. REC. - I/O,GMRY,Intake/Output Module of General Medical Record.,10
GEN. MED. REC. - VITALS,GMRV,Vitals/Measurements Module of General Medical Record.,0
GENERIC CODE SHEET,GEC,GENERIC CODE SHEET,9
GENERIC CODE SHEET PATCH,GECX,Generic Code Sheet Patch GEC*2*2,0
GENERIC INVENTORY PACKAGE,PRCP,Generic Inventory Package,12
GLOBAL MOVE,ZZMG,GLOBAL MOVE UTILITIES FOR MSM,0
GMRQ INACTIVATE PNS TITLES,GMRQ,For use with GMRP*2.5*23 (INACTIVATE PNS TITLES),0
GMRR PNS COSIGNATURE,GMRR,For use with GMRP*2.5*24 (COSIGNATURE ENHANCEMENTS),0
GMTS EXPORT,HSE,Health Summary Export,0
GRAPHICS,GR,,0
HBH PATCH 1 INITS,HBHY,DD corrections for HBHC patient file(631),1
HEALTH DATA & INFORMATICS,HDI,Data Standardization,0
HEALTH EVET,EVET,HEALTH EVET,0
HEALTH LEVEL SEVEN,HL,DHCP IMPLEMENTATION OF HEALTH LEVEL SEVEN,20
HEALTH MANAGEMENT PLATFORM,HMP,Access patient medical records from all VistA's,0
HEALTH SUMMARY,GMTS,Integrated Health Summary Tools,3
HEALTHEVET DESKTOP,XHD,HealtheVet Desktop,0
HELP PROCESSOR,XH,,0
HELP/.01/RT PARAMETERS,RTYA,HELP PROMPT .O1 OF 195.4,0
HERBAL/OTC/NON-VA MEDS,PSH,Non-VA Medications,0
HINQ,DVB,HINQ(Hospital Inquiry),7
HINQ ALERT patch,DVBX,HINQ ALERT PATCH,0
HINQ INPUT TEMPLATE CHANGE,DVBU,Change to DVBHINQ UPDATE Input Template,0
HINQ MAS 5.2 UPDATE,DVBY,Will change the hinq update template and print template,0
