file_number,label,entry_count,tier,package,package_provenance,package_confidence,global_root
702.001,CP_TRANSACTION_TIU_HISTORY,4,tiny,CLINICAL PROCEDURES,prefix,med,"^MDD(702.001,"
703.1,CP RESULT REPORT,4,tiny,CLINICAL PROCEDURES,prefix,med,"^MDD(703.1,"
703.9,CP CONVERSION,4,tiny,CLINICAL PROCEDURES,prefix,med,"^MDD(703.9,"
720.1,EVENT CAPTURE LOG,4,tiny,EVENT CAPTURE,prefix,high,"^EC(720.1,"
722.0,EVENT CAPTURE PROVIDER,4,tiny,EVENT CAPTURE,prefix,high,"^EC(722,"
725.0,EC NATIONAL PROCEDURE,4,tiny,EVENT CAPTURE,prefix,high,"^EC(725,"
726.0,EVENT CAPTURE CATEGORY,4,tiny,EVENT CAPTURE,prefix,high,"^EC(726,"
869.1,HL LOWER LEVEL PROTOCOL TYPE,4,tiny,HEALTH LEVEL SEVEN,direct,high,"^HLCS(869.1,"
869.2,HL LOWER LEVEL PROTOCOL PARAMETER,4,tiny,HEALTH LEVEL SEVEN,direct,high,"^HLCS(869.2,"
869.3,HL COMMUNICATION SERVER PARAMETERS,4,tiny,HEALTH LEVEL SEVEN,direct,high,"^HLCS(869.3,"
870.0,HL LOGICAL LINK,4,tiny,HEALTH LEVEL SEVEN,direct,high,"^HLCS(870,"
984.1,MASTER PATIENT INDEX (LOCAL NUMBERS),4,tiny,MASTER PATIENT INDEX VISTA,prefix,high,"^MPIF(984.1,"
984.5,MPI CHECKDIGIT,4,tiny,MASTER PATIENT INDEX VISTA,prefix,high,"^MPIF(984.5,"
984.8,MPI ICN BUILD MANAGEMENT,4,tiny,MASTER PATIENT INDEX VISTA,prefix,high,"^MPIF(984.8,"
984.9,MPIF CMOR REQUEST,4,tiny,MASTER PATIENT INDEX VISTA,prefix,high,"^MPIF(984.9,"
995.0,CIRN EVENT ASSOCIATION,4,tiny,CLINICAL INFO RESOURCE NETWORK,prefix,med,^RGEQASN(
2006.5733,QUERY/RETRIEVE STATISTICS,4,tiny,IMAGING,prefix,med,"^MAGDAUDT(2006.5733,"
2006.5761,DICOM MESSAGE STATISTISTICS,4,tiny,IMAGING,prefix,med,"^MAGDAUDT(2006.5761,"
2006.5762,DICOM INSTRUMENT STATISTICS,4,tiny,IMAGING,prefix,med,"^MAGDAUDT(2006.5762,"
2006.5763,DICOM PACS STATISTICS,4,tiny,IMAGING,prefix,med,"^MAGDAUDT(2006.5763,"
2275.0,HEALTH EVET REGISTER,4,tiny,HEALTH EVET,prefix,high,"^EVET(2275,"
2276.0,HEALTH EVET AUDIT LOG,4,tiny,HEALTH EVET,prefix,high,"^EVET(2276,"
2276.1,HEALTH EVET DOWNLOAD SUMMARY,4,tiny,HEALTH EVET,prefix,high,"^EVET(2276.1,"
2276.3,HEALTH EVET DOWNLOAD EVENTS,4,tiny,HEALTH EVET,prefix,high,"^EVET(2276.3,"
2276.999,EVET LOCAL CONFIG,4,tiny,HEALTH EVET,prefix,high,"^EVET(2276.999,"
7115.1,HDIS DOMAIN,4,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDIS(7115.1,"
7115.3,HDIS XML TEMPLATE,4,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDIS(7115.3,"
7115.5,HDIS STATUS,4,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDIS(7115.5,"
7115.6,HDIS FILE/FIELD,4,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDIS(7115.6,"
8972.1,CP CODE EVALUATOR,4,tiny,CAPACITY MANAGEMENT TOOLS,prefix,high,"^KMPD(8972.1,"
8972.3,CP DATA ELEMENTS,4,tiny,CAPACITY MANAGEMENT TOOLS,prefix,high,"^KMPD(8972.3,"
8973.0,CP PARAMETERS,4,tiny,CAPACITY MANAGEMENT TOOLS,prefix,high,"^KMPD(8973,"
8973.1,CM HL7 DATA,4,tiny,CAPACITY MANAGEMENT TOOLS,prefix,high,"^KMPD(8973.1,"
8973.2,CP TIMING,4,tiny,CAPACITY MANAGEMENT TOOLS,prefix,high,"^KMPD(8973.2,"
8973.3,CP REPORTS,4,tiny,CAPACITY MANAGEMENT TOOLS,prefix,high,"^KMPD(8973.3,"
8984.1,LOCAL KEYWORD,4,tiny,TOOLKIT,direct,high,"^XT(8984.1,"
8984.2,LOCAL SHORTCUT,4,tiny,TOOLKIT,direct,high,"^XT(8984.2,"
8984.3,LOCAL SYNONYM,4,tiny,TOOLKIT,direct,high,"^XT(8984.3,"
8984.4,LOCAL LOOKUP,4,tiny,TOOLKIT,direct,high,"^XT(8984.4,"
9001.0,ISI PT IMPORT TEMPLATE,4,tiny,ISI IMAGING,prefix,high,"^ISI(9001,"
19621.0,DSIV VISTA IMAGING QUEUE TRACKING,4,tiny,(unattributed),unattributed,,"^DSI(19621,"
19625.0,DSIV ICB AUDIT,4,tiny,(unattributed),unattributed,,"^DSI(19625,"
19625.1,DSIV REPORT DATA,4,tiny,(unattributed),unattributed,,"^DSI(19625.1,"
19625.2,DSIV EXCEPTION LOCATIONS,4,tiny,(unattributed),unattributed,,"^DSI(19625.2,"
19625.3,DSIV ICB MANUAL PATIENT FLAG FILE,4,tiny,(unattributed),unattributed,,"^DSI(19625.3,"
23450.0,ISIJ DYNAMIC QUERY STATS,4,tiny,ISI IMAGING,prefix,high,"^ISI(23450,"
23451.0,ISIJ FAVORITES,4,tiny,ISI IMAGING,prefix,high,"^ISI(23451,"
23453.0,ISIJ EXAM NOTES,4,tiny,ISI IMAGING,prefix,high,"^ISI(23453,"
537000.0,VAMC NETWORK HEALTH EXCHANGE,4,tiny,NETWORK HEALTH EXCHANGE,direct,high,"^AFJ(537000,"
537010.0,VAMC NETWORK PATIENT,4,tiny,NETWORK HEALTH EXCHANGE,direct,high,"^AFJ(537010,"
537015.0,VAMC NETWORK HEALTH TYPES,4,tiny,NETWORK HEALTH EXCHANGE,direct,high,"^AFJ(537015,"
537025.0,VAMC NETWORK HEALTH AUTHORIZED SITES,4,tiny,NETWORK HEALTH EXCHANGE,direct,high,"^AFJ(537025,"
800000.0,HMP SUBSCRIPTION,4,tiny,HEALTH MANAGEMENT PLATFORM,prefix,high,"^HMP(800000,"
800000.1,HMP PATIENT OBJECT,4,tiny,HEALTH MANAGEMENT PLATFORM,prefix,high,"^HMP(800000.1,"
800000.11,HMP OBJECT,4,tiny,HEALTH MANAGEMENT PLATFORM,prefix,high,"^HMP(800000.11,"
800001.5,HMP ACTIVITY,4,tiny,HEALTH MANAGEMENT PLATFORM,prefix,high,"^HMP(800001.5,""PTAPPT"","
1.11,ARCHIVAL ACTIVITY,3,tiny,VA FILEMAN,prefix,med,"^DIAR(1.11,"
1.12,FILEGRAM HISTORY,3,tiny,VA FILEMAN,prefix,med,"^DIAR(1.12,"
1.13,FILEGRAM ERROR LOG,3,tiny,VA FILEMAN,prefix,med,"^DIAR(1.13,"
1.6,POLICY,3,tiny,VA FILEMAN,prefix,med,"^DIAC(1.6,"
1.61,APPLICATION ACTION,3,tiny,VA FILEMAN,prefix,med,"^DIAC(1.61,"
1.62,POLICY FUNCTION,3,tiny,VA FILEMAN,prefix,med,"^DIAC(1.62,"
3.075,ERROR LOG,3,tiny,KERNEL,direct,high,"^%ZTER(1,"
3.076,ERROR MESSAGES,3,tiny,KERNEL,direct,high,"^%ZTER(2,"
3.077,ERROR TRAP SUMMARY,3,tiny,UTILITIES,prefix,med,"^%ZTER(3.077,"
3.081,SIGN-ON LOG,3,tiny,KERNEL,direct,high,"^XUSEC(0,"
3.083,LOCKED IP or DEVICE,3,tiny,KERNEL,prefix,med,"^XUSEC(3,"
